word	frequency
virus	44413
infection	29656
viral	27474
respiratory	23901
disease	22088
cells	21611
patients	21296
viruses	20097
protein	19390
study	18759
human	18217
sars	17917
cell	16996
health	15857
results	14936
influenza	14106
coronavirus	13857
infections	13691
rna	13335
clinical	13188
data	12000
based	11749
infectious	11495
two	11388
analysis	11229
cov	11205
high	10744
diseases	10579
proteins	10554
acute	10318
host	10278
specific	10066
cases	9981
infected	9749
one	9669
control	9421
expression	9353
immune	9342
time	9285
severe	9204
studies	8987
treatment	8737
response	8640
gene	8561
potential	8496
risk	8370
model	8257
including	8164
pcr	8107
development	8095
system	8063
detection	8011
methods	7930
vaccine	7801
syndrome	7752
replication	7745
identified	7661
role	7660
found	7609
samples	7561
activity	7547
important	7524
positive	7104
number	7099
type	7093
pathogens	6878
antiviral	6702
showed	6646
mers	6628
children	6613
public	6551
group	6452
care	6435
molecular	6310
mice	6221
factors	6219
detected	6182
review	6149
compared	6145
epidemic	6138
three	6115
china	6103
outbreak	5980
induced	5941
related	5865
research	5810
significant	5807
increased	5795
species	5722
binding	5713
strains	5640
responses	5596
genome	5574
years	5522
present	5506
sequence	5479
antibodies	5439
common	5404
assay	5345
pandemic	5300
levels	5278
genes	5195
vaccines	5190
dna	5189
effective	5142
population	5136
effects	5107
background	5067
reported	5044
major	5017
age	4998
antibody	4993
pneumonia	4965
case	4942
higher	4937
developed	4909
acid	4909
provide	4844
observed	4834
anti	4784
effect	4753
information	4704
rate	4692
early	4665
mortality	4656
highly	4552
cellular	4551
findings	4463
recent	4446
strain	4430
lung	4405
ifn	4387
spread	4380
receptor	4356
diagnosis	4355
level	4342
membrane	4338
hospital	4307
global	4286
evidence	4279
emerging	4262
low	4256
method	4225
single	4185
current	4140
animal	4135
models	4113
structure	4104
blood	4097
production	4095
due	4077
countries	4048
large	4044
multiple	4037
mechanisms	4024
animals	4002
patient	3951
caused	3914
genetic	3878
porcine	3874
pathogen	3862
symptoms	3849
function	3837
sequences	3817
drug	3789
addition	3783
target	3781
confirmed	3764
systems	3756
rapid	3738
bacterial	3726
approach	3719
total	3717
agents	3642
humans	3631
lower	3618
vitro	3585
tract	3581
medical	3576
complex	3558
show	3553
strategies	3552
groups	3538
identify	3537
impact	3529
diagnostic	3519
diarrhea	3514
suggest	3513
similar	3496
revealed	3468
tested	3465
small	3443
recombinant	3435
test	3432
calves	3427
region	3393
outbreaks	3374
management	3353
structural	3349
serum	3345
four	3326
presence	3318
collected	3291
vaccination	3275
laboratory	3266
therapeutic	3254
fusion	3239
pedv	3237
antigen	3204
mediated	3199
real	3195
negative	3194
chapter	3175
measures	3166
domain	3166
critical	3151
range	3140
immunity	3121
increase	3120
performed	3101
world	3088
report	3086
process	3067
surface	3064
assays	3046
involved	3002
knowledge	2988
rsv	2967
entry	2964
factor	2961
therapy	2949
future	2932
primary	2923
fever	2913
activation	2896
mouse	2895
shown	2892
ibv	2864
reduced	2864
key	2851
family	2848
community	2848
design	2843
polymerase	2827
period	2824
culture	2824
drugs	2824
illness	2819
biological	2815
amino	2810
long	2809
mechanism	2808
prevention	2796
dependent	2792
regions	2781
hepatitis	2770
conclusions	2749
site	2747
chronic	2747
conditions	2744
testing	2736
isolated	2730
growth	2712
cross	2698
required	2669
protection	2657
rates	2631
spike	2630
reaction	2627
expressed	2625
life	2617
individuals	2616
interferon	2598
vivo	2597
previously	2593
middle	2592
natural	2568
obtained	2565
limited	2540
chain	2536
evaluated	2533
recently	2533
sequencing	2530
derived	2521
included	2518
avian	2505
innate	2504
prevalence	2503
interaction	2500
pigs	2498
post	2477
sensitivity	2472
functional	2468
essential	2460
cancer	2454
death	2452
conclusion	2448
tissue	2430
exposure	2419
types	2394
importance	2391
east	2384
social	2371
result	2368
incidence	2355
cats	2351
differences	2350
work	2346
inhibition	2342
bacteria	2335
ability	2333
healthcare	2328
signaling	2323
order	2320
inhibitors	2320
determined	2309
efficacy	2299
feline	2297
challenge	2292
pathogenic	2290
isolates	2285
features	2280
summary	2278
main	2269
synthesis	2267
evolution	2265
support	2262
field	2256
analyzed	2254
active	2253
bovine	2242
contact	2239
particles	2238
peptide	2232
functions	2227
compounds	2216
resistance	2209
conducted	2205
pathway	2196
enzyme	2193
activities	2182
analyses	2179
protective	2178
five	2178
article	2177
severity	2165
approaches	2163
considered	2163
emergency	2150
specificity	2145
sites	2143
people	2139
isolation	2138
demonstrate	2133
include	2132
events	2131
develop	2129
screening	2127
populations	2121
tests	2118
association	2113
pulmonary	2109
h1n1	2096
worldwide	2089
mrna	2087
unknown	2084
central	2077
hiv	2062
structures	2056
individual	2049
specimens	2047
increasing	2042
direct	2028
dynamics	2027
studied	2026
genomic	2025
molecules	2021
strategy	2020
network	2019
general	2008
air	2003
plasma	1989
des	1987
treated	1980
asthma	1964
evaluation	1963
wild	1963
emergence	1960
pathways	1950
quality	1941
swine	1939
targets	1935
bat	1932
areas	1931
agent	1929
reverse	1910
detect	1908
paper	1907
targeting	1898
form	1896
properties	1895
sensitive	1893
outcomes	1892
protease	1883
bats	1870
national	1868
suggesting	1865
les	1865
genomes	1852
phase	1852
patterns	1847
tgev	1844
play	1843
six	1840
local	1837
remains	1836
complete	1833
ebola	1830
techniques	1825
processes	1825
describe	1821
open	1821
ace2	1818
decreased	1817
prevent	1812
reduce	1808
delivery	1808
medicine	1805
months	1803
prrsv	1803
examined	1802
adults	1794
mhv	1794
evaluate	1791
chinese	1791
length	1787
established	1787
acids	1782
receptors	1781
year	1779
regulation	1777
size	1775
made	1762
affected	1756
rotavirus	1752
conserved	1751
diversity	1744
healthy	1737
elisa	1734
presented	1732
distinct	1732
developing	1731
dose	1729
safety	1729
economic	1729
nucleic	1727
needed	1725
liver	1723
improve	1722
selected	1713
change	1707
state	1702
improved	1702
unique	1701
macrophages	1699
responsible	1698
secondary	1698
syncytial	1698
previous	1696
tissues	1695
peptides	1693
application	1690
states	1687
formation	1685
challenges	1684
mutations	1683
stress	1683
free	1679
leading	1677
performance	1673
rapidly	1671
antigens	1670
terminal	1669
nucleotide	1667
provided	1666
sample	1665
epithelial	1663
enhanced	1661
nasal	1659
adenovirus	1656
dogs	1654
environment	1650
brain	1647
produced	1643
efficient	1641
generation	1641
reduction	1640
wuhan	1633
capacity	1631
induction	1631
rhinovirus	1630
morbidity	1627
lead	1626
